cell,assigned,dominant,continent,share,land_frac,verdict,breakdown,rows,images
Antarctica_60_-85_65_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_65_-85_70_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_70_-85_75_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_75_-85_80_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_80_-85_85_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_85_-85_90_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_90_-85_95_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_95_-85_100_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_100_-85_105_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_105_-85_110_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_110_-85_115_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_115_-85_120_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_120_-85_125_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_125_-85_130_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_130_-85_135_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_135_-85_140_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_140_-85_145_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_145_-85_150_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_150_-85_155_-80,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_155_-85_160_-80,Antarctica,Antarctica,Antarctica,1.0,0.988,ocean-label-kept,Antarctica 100%,0,0
Antarctica_160_-85_165_-80,Antarctica,Antarctica,Antarctica,1.0,0.636,ocean-label-kept,Antarctica 100%,0,0
Antarctica_165_-85_170_-80,Antarctica,Antarctica,Antarctica,1.0,0.405,ocean-label-kept,Antarctica 100%,0,0
Antarctica_170_-85_175_-80,Antarctica,Antarctica,Antarctica,1.0,0.269,ocean-label-kept,Antarctica 100%,0,0
Antarctica_175_-85_180_-80,Antarctica,Antarctica,Antarctica,1.0,0.184,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-180_-80_-175_-75,Antarctica,,,0.0,0.0,ocean-no-land,,0,0
Antarctica_-175_-80_-170_-75,Antarctica,,,0.0,0.0,ocean-no-land,,0,0
Antarctica_-170_-80_-165_-75,Antarctica,,,0.0,0.0,ocean-no-land,,0,0
Antarctica_-165_-80_-160_-75,Antarctica,Antarctica,Antarctica,1.0,0.12,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-160_-80_-155_-75,Antarctica,Antarctica,Antarctica,1.0,0.167,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-155_-80_-150_-75,Antarctica,Antarctica,Antarctica,1.0,0.371,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-150_-80_-145_-75,Antarctica,Antarctica,Antarctica,1.0,0.602,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-145_-80_-140_-75,Antarctica,Antarctica,Antarctica,1.0,0.881,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-140_-80_-135_-75,Antarctica,Antarctica,Antarctica,1.0,0.979,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-135_-80_-130_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-130_-80_-125_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-125_-80_-120_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-120_-80_-115_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-115_-80_-110_-75,Antarctica,Antarctica,Antarctica,1.0,0.99,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-110_-80_-105_-75,Antarctica,Antarctica,Antarctica,1.0,0.949,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-105_-80_-100_-75,Antarctica,Antarctica,Antarctica,1.0,0.959,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-100_-80_-95_-75,Antarctica,Antarctica,Antarctica,1.0,0.985,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-95_-80_-90_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-90_-80_-85_-75,Antarctica,Antarctica,Antarctica,1.0,1.0,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-85_-80_-80_-75,Antarctica,Antarctica,Antarctica,1.0,0.908,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-80_-80_-75_-75,Antarctica,Antarctica,Antarctica,1.0,0.692,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-75_-80_-70_-75,Antarctica,Antarctica,Antarctica,1.0,0.43,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-70_-80_-65_-75,Antarctica,Antarctica,Antarctica,1.0,0.318,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-65_-80_-60_-75,Antarctica,Antarctica,Antarctica,1.0,0.048,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-60_-80_-55_-75,Antarctica,Antarctica,Antarctica,1.0,0.002,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-55_-80_-50_-75,Antarctica,Antarctica,Antarctica,1.0,0.036,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-50_-80_-45_-75,Antarctica,Antarctica,Antarctica,1.0,0.408,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-45_-80_-40_-75,Antarctica,Antarctica,Antarctica,1.0,0.111,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-40_-80_-35_-75,Antarctica,Antarctica,Antarctica,1.0,0.048,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-35_-80_-30_-75,Antarctica,Antarctica,Antarctica,1.0,0.421,ocean-label-kept,Antarctica 100%,0,0
Antarctica_-30_-80_-25_-75,Antarctica,Antarctica,Antarctica,1.0,0.7,ocean-label-kept,Antarctica 100%,0,0
